Пробег,Марка,Объем двигателя,Год создания,Тип двигателя,Цена,Лошадиные силы,Расход,Кол-во мест,Трансмиссия
298 000,Фольксваген, 1.4,2011,бензин,850 000,122,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
343 467,Хонда, 1.5,2002,бензин,250 000,105,0,5,АКПП
95 100,Мицубиси, 1.8,2014,бензин,1 650 000,140,0,- мест,-----
185 000,Хендай, 1.4,2018,бензин,830 000,100,0,- мест,-----
39 000,Шевроле, 1.5,2021,бензин,1 380 000,113,0,- мест,-----
87 000,Ауди, 2.0,2015,бензин,3 549 999,230,0,- мест,-----
162 671,Мини, 1.6,2007,бензин,985 000,174,6.9,4 ,АКПП
5 000,Zeekr,---,001,электро,5 500 000,536,0,5,Редуктор
178 000,Ленд, 3.0,2017,дизель,5 640 000,249,6.9,5,АКПП
80 000,Мерседес, 2.9,2021,дизель,10 600 000,330,7.9,7,АКПП
251 000,Мицубиси, 2.3,5,дизель,2 550 000,148,0,7,АКПП
3 500,RAM, 6.2,1500,бензин,16 300 000,702,19.6,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
67 000,Тойота, 2.5,2018,бензин,4 300 000,152,5.2,8,Вариатор
,---,,0,-,No price,---,0,- мест,-----
64 588,Тойота, 1.0,2016,бензин,1 190 000,69,4.1,5,Вариатор
40 000,Хонда, 1.5,2019,бензин,3 150 000,150,0,- мест,-----
38 800,Мицубиси, 2.3,5,дизель,4 295 000,145,7.9,8,АКПП
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
84 074,Тойота, 1.6,2014,бензин,1 628 000,122,0,- мест,-----
99 219,Фольксваген, 1.4,2013,бензин,1 242 000,150,0,- мест,-----
207 705,Форд, 1.6,2006,бензин,420 000,115,0,- мест,-----
235 000,Лада, 1.5,2115,бензин,100 000,76,7.3,5,МКПП
120 000,Лада, 1.6,2114,бензин,285 000,80,0,- мест,-----
328 417,Фольксваген, 1.6,1990,бензин,130 000,72,0,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
92 213,Вольво, 2.0,60,бензин,4 080 000,249,7.8,5,АКПП
111 111,Тойота, 1.8,2018,бензин,1 800 000,98,3.3,5,Вариатор
200 000,LADA, 1.6,2017,бензин,800 000,102,7.9,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
260 000,Фольксваген, 2.0,2012,дизель,1 700 000,180,8.0,5,МКПП
15 353,Чанган, 1.4,35,бензин,2 099 444,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
86 800,LADA, 1.6,2020,бензин,930 000,106,6.9,5,МКПП
95 100,Ниссан, 1.6,2015,бензин,880 000,117,6.4,5,МКПП
50 200,Мини, 1.5,2021,бензин,2 949 667,136,0,- мест,-----
80 000,Тойота, 1.5,2010,бензин,1 500 000,110,0,- мест,-----
276 000,Лада, 1.6,2114,бензин,285 000,81,0,- мест,-----
147 000,Киа, 2.4,2020,бензин,2 150 000,175,8.8,5,МКПП
147 000,Мини, 1.6,2012,бензин,1 150 000,122,6.4,4 ,АКПП
206 815,Ленд, 4.4,2017,дизель,4 619 000,339,0,- мест,-----
260 000,Лада, 1.5,21099,бензин,40 000,70,0,- мест,-----
168 000,Рено, 1.4,2003,бензин,300 000,92,0,- мест,-----
87 091,Инфинити, 3.5,35,бензин,2 147 000,265,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
160 000,Рено, 1.6,2008,бензин,490 000,87,7.3,5,МКПП
86 892,Форд, 1.5,2018,бензин,1 450 000,150,0,- мест,-----
53 468,Ленд, 2.0,2019,дизель,3 800 000,240,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
78 000,Хендай, 1.1,2010,бензин,680 000,67,0,- мест,-----
159 000,Тойота, 2.0,4,бензин,1 150 000,152,0,- мест,-----
