distance_travelled,brand,engine_capacity,year_of_creation,engine_type,price,hp
298000.0,Фольксваген,1.4,2011.0,бензин,850000.0,122.0
343467.0,Хонда,1.5,2002.0,бензин,250000.0,105.0
95100.0,Мицубиси,1.8,2014.0,бензин,1650000.0,140.0
185000.0,Хендай,1.4,2018.0,бензин,830000.0,100.0
39000.0,Шевроле,1.5,2021.0,бензин,1380000.0,113.0
87000.0,Ауди,2.0,2015.0,бензин,3549999.0,230.0
162671.0,Мини,1.6,2007.0,бензин,985000.0,174.0
5000.0,Zeekr,1.8,2011.0,электро,5500000.0,536.0
178000.0,Ленд,3.0,2017.0,дизель,5640000.0,249.0
251000.0,Мицубиси,2.3,2015.0,дизель,2550000.0,148.0
67000.0,Тойота,2.5,2018.0,бензин,4300000.0,152.0
64588.0,Тойота,1.0,2016.0,бензин,1190000.0,69.0
40000.0,Хонда,1.5,2019.0,бензин,3150000.0,150.0
38800.0,Мицубиси,2.3,2015.0,дизель,4295000.0,145.0
84074.0,Тойота,1.6,2014.0,бензин,1628000.0,122.0
99219.0,Фольксваген,1.4,2013.0,бензин,1242000.0,150.0
207705.0,Форд,1.6,2006.0,бензин,420000.0,115.0
235000.0,Лада,1.5,2015.0,бензин,100000.0,76.0
120000.0,Лада,1.6,2015.0,бензин,285000.0,80.0
328417.0,Фольксваген,1.6,1990.0,бензин,130000.0,72.0
92213.0,Вольво,2.0,2010.0,бензин,4080000.0,249.0
111111.0,Тойота,1.8,2018.0,бензин,1800000.0,98.0
200000.0,LADA,1.6,2017.0,бензин,800000.0,102.0
260000.0,Фольксваген,2.0,2012.0,дизель,1700000.0,180.0
15353.0,Чанган,1.4,2015.0,бензин,2099444.0,150.0
86800.0,LADA,1.6,2020.0,бензин,930000.0,106.0
95100.0,Ниссан,1.6,2015.0,бензин,880000.0,117.0
50200.0,Мини,1.5,2021.0,бензин,2949667.0,136.0
80000.0,Тойота,1.5,2010.0,бензин,1500000.0,110.0
276000.0,Лада,1.6,2015.0,бензин,285000.0,81.0
147000.0,Киа,2.4,2020.0,бензин,2150000.0,175.0
147000.0,Мини,1.6,2012.0,бензин,1150000.0,122.0
206815.0,Ленд,4.4,2017.0,дизель,4619000.0,339.0
168000.0,Рено,1.4,2003.0,бензин,300000.0,92.0
87091.0,Инфинити,3.5,2015.0,бензин,2147000.0,265.0
160000.0,Рено,1.6,2008.0,бензин,490000.0,87.0
86892.0,Форд,1.5,2018.0,бензин,1450000.0,150.0
53468.0,Ленд,2.0,2019.0,дизель,3800000.0,240.0
78000.0,Хендай,1.1,2010.0,бензин,680000.0,67.0
159000.0,Тойота,2.0,2014.0,бензин,1150000.0,152.0
213000.0,Ниссан,1.8,2008.0,бензин,579000.0,126.0
334000.0,Шевроле,1.5,2013.0,бензин,390000.0,106.0
222280.0,Ауди,1.4,2013.0,бензин,800000.0,125.0
199619.0,Форд,2.0,2012.0,бензин,920000.0,150.0
35000.0,Рено,2.0,2017.0,бензин,1799000.0,143.0
27049.0,Джили,1.5,2022.0,бензин,2320000.0,177.0
196309.0,Фольксваген,2.0,2018.0,дизель,2970000.0,140.0
140849.0,Фольксваген,1.8,2014.0,бензин,1349000.0,152.0
193000.0,Хендай,1.4,2014.0,бензин,825000.0,107.0
90952.0,БМВ,3.0,2013.0,дизель,5190000.0,249.0
118564.0,Мазда,2.0,2015.0,бензин,2490000.0,150.0
